nid,subject,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score,Academic Reputation_rank,Employer Reputation_rank,Citations per Paper_rank,H-index Citations_rank,International Research Network_rank
3846231,classics-ancient-history,National Taiwan University (NTU),22,79.8,80,77.5,-,-,-,24,31,-,-,-
3846231,classics-ancient-history,National Chengchi University,43,73.7,72.9,81,-,-,-,47,25,-,-,-
3846231,classics-ancient-history,National Chung Cheng University,63,-,69,71.7,-,-,-,51+,51+,-,-,-
3846232,communication-media-studies,National Taiwan University (NTU),114,-,72,77.8,76.8,65.8,65.8,51+,51+,51+,51+,51+
3846232,communication-media-studies,National Chengchi University,166,-,65.2,64.7,80.4,69,69,51+,51+,51+,51+,51+
3846233,computer-science-information-systems,National Taiwan University (NTU),80,69.8,68.2,73.1,74.4,72.3,72.3,48,93,151+,151+,151+
3846233,computer-science-information-systems,National Tsing Hua University,146,65.5,61.6,71,73.1,68.5,68.5,110,122,151+,151+,151+
3846233,computer-science-information-systems,National Yang Ming Chiao Tung University,166,-,57.2,68.1,72.4,69.6,69.6,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Taiwan University of Science and Technology (Taiwan Tech),217,-,53.5,61.1,76.6,70.1,70.1,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Cheng Kung University (NCKU),269,-,53.4,65.7,69.5,65.9,65.9,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Taipei University of Technology,270,-,55.9,64.2,66.5,57.7,57.7,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Sun Yat-sen University,421,-,44.9,59.4,74.4,61,61,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Central University,519,-,44.4,58.6,69.8,59,59,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Taiwan Normal University,520,-,48.5,55.5,69.8,55.4,55.4,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Chengchi University,619,-,42.9,56.8,58.8,52.8,52.8,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Chung Cheng University,620,-,39.3,56.5,68.6,56.8,56.8,151+,151+,151+,151+,151+
3846233,computer-science-information-systems,National Chung Hsing University,621,-,37.8,55,71.5,60.2,60.2,151+,151+,151+,151+,151+
3846236,earth-marine-sciences,National Taiwan University (NTU),64,-,76.9,78,84.6,80.7,80.7,51+,51+,51+,51+,51+
3846237,economics-econometrics,National Taiwan University (NTU),120,67.3,69.6,73.5,66.2,57.8,57.8,84,73,151+,151+,151+
3846237,economics-econometrics,National Chengchi University,325,-,55.5,59.3,61.3,52.8,52.8,151+,151+,151+,151+,151+
3846237,economics-econometrics,National Sun Yat-sen University,326,-,52.2,57.5,63.9,58.9,58.9,151+,151+,151+,151+,151+
3846237,economics-econometrics,National Tsing Hua University,327,-,58.4,67.3,50.2,50.5,50.5,151+,151+,151+,151+,151+
3846237,economics-econometrics,National Cheng Kung University (NCKU),416,-,55,66.1,51.9,47,47,151+,151+,151+,151+,151+
3846237,economics-econometrics,Feng Chia University,509,-,45.5,46.9,61.6,54.8,54.8,151+,151+,151+,151+,151+
3846237,economics-econometrics,National Central University,514,-,47.4,56,54.1,50.5,50.5,151+,151+,151+,151+,151+
3846238,education-training,National Taiwan Normal University,28,80.6,75.8,75.1,87.7,88,88,34,52,101+,67,67
3846238,education-training,National Taiwan University (NTU),117,-,65.6,78.4,79.3,73.6,73.6,92,40,101+,101+,101+
3846238,education-training,National Taiwan University of Science and Technology (Taiwan Tech),118,-,57.1,64.7,93.7,87.4,87.4,101+,101+,22,77,77
3846238,education-training,National Cheng Kung University (NCKU),167,-,59,71.2,83.3,80.6,80.6,101+,81,101+,101+,101+
3846238,education-training,National Sun Yat-sen University,264,-,53,62.2,81.6,76.9,76.9,101+,101+,101+,101+,101+
