year,subject_nid,subject,university_nid,country,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score
2023,3846241,electrical-electronic-engineering,294800,Taiwan,National Tsing Hua University,107,70.5,68.8,73.4,78.9,71.4,42.7
2023,3846241,electrical-electronic-engineering,294963,Taiwan,National Taipei University of Technology,122,69.2,69.5,71.4,78.7,67.1,35.4
2023,3846241,electrical-electronic-engineering,294814,Taiwan,National Cheng Kung University (NCKU),140,68,61.7,68.9,84.7,77,47.9
2023,3846241,electrical-electronic-engineering,3740459,Taiwan,National Yang Ming Chiao Tung University,161,n/a,62.3,71.1,77,73.4,39.5
2023,3846241,electrical-electronic-engineering,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),226,n/a,61,62.2,83,71.7,37.7
2023,3846241,electrical-electronic-engineering,955254,Taiwan,National Chinyi University of Technology,272,n/a,67.3,56.4,58.4,50.8,21.6
2023,3846241,electrical-electronic-engineering,294816,Taiwan,National Central University,318,n/a,51,59.4,78.6,61.5,31.5
2023,3846241,electrical-electronic-engineering,294807,Taiwan,National Sun Yat-sen University,320,n/a,52.3,58.5,81.1,64.5,27.3
2023,3846241,electrical-electronic-engineering,294808,Taiwan,National Chung Hsing University,365,n/a,51.4,55.5,72.3,57.2,35.6
2023,3846241,electrical-electronic-engineering,294692,Taiwan,National Chung Cheng University,418,n/a,46.3,56.1,72.7,58.6,25.4
2023,3846241,electrical-electronic-engineering,294806,Taiwan,National Taiwan Normal University,512,n/a,50.8,50.2,68.3,51.4,17
2023,3846242,mechanical-aeronautical-manufacturing-engineering,294804,Taiwan,National Taiwan University (NTU),91,73.4,73,74.8,84.8,72.4,41.3
2023,3846242,mechanical-aeronautical-manufacturing-engineering,294963,Taiwan,National Taipei University of Technology,123,71.1,74.3,73.8,79.6,60.8,33.8
2023,3846242,mechanical-aeronautical-manufacturing-engineering,294800,Taiwan,National Tsing Hua University,133,70.3,70,71.9,82.8,65.4,44
2023,3846242,mechanical-aeronautical-manufacturing-engineering,294814,Taiwan,National Cheng Kung University (NCKU),172,n/a,63.1,69.5,80.8,70.7,41.8
2023,3846242,mechanical-aeronautical-manufacturing-engineering,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),220,n/a,63.4,64.3,81,64.9,54.4
2023,3846242,mechanical-aeronautical-manufacturing-engineering,3740459,Taiwan,National Yang Ming Chiao Tung University,268,n/a,52.3,67.9,80,64.4,37.2
2023,3846242,mechanical-aeronautical-manufacturing-engineering,955254,Taiwan,National Chinyi University of Technology,316,n/a,66.6,62.5,53.3,48.9,19.8
2023,3846242,mechanical-aeronautical-manufacturing-engineering,294808,Taiwan,National Chung Hsing University,317,n/a,59.8,60.5,71.1,57.4,25.5
2023,3846242,mechanical-aeronautical-manufacturing-engineering,294816,Taiwan,National Central University,421,n/a,51.1,61.3,69.5,53.5,32.8
2023,3846242,mechanical-aeronautical-manufacturing-engineering,294807,Taiwan,National Sun Yat-sen University,422,n/a,52.7,59.9,68.3,50.8,22.6
2023,3846248,engineering-petroleum,294807,Taiwan,National Sun Yat-sen University,73,n/a,53.1,56.4,83.8,75,
2023,3846244,english-language-literature,294804,Taiwan,National Taiwan University (NTU),77,72.5,74.2,79.9,51.4,n/a,
2023,3846244,english-language-literature,294806,Taiwan,National Taiwan Normal University,163,n/a,68.3,63.2,39.2,n/a,
2023,3846244,english-language-literature,294814,Taiwan,National Cheng Kung University (NCKU),220,n/a,63.7,71.8,42.7,n/a,
2023,3846244,english-language-literature,294807,Taiwan,National Sun Yat-sen University,269,n/a,59.4,63,39.2,n/a,
2023,3846244,english-language-literature,294811,Taiwan,National Chengchi University,308,n/a,54.2,70,55.1,n/a,
2023,3846244,english-language-literature,294800,Taiwan,National Tsing Hua University,309,n/a,59.2,71.4,10.9,n/a,
2023,3846246,environmental-sciences,294804,Taiwan,National Taiwan University (NTU),86,79.3,74.6,77.1,89.7,84.5,50.9
2023,3846246,environmental-sciences,294814,Taiwan,National Cheng Kung University (NCKU),216,n/a,61.6,73,90.8,79.3,32.2
2023,3846246,environmental-sciences,294963,Taiwan,National Taipei University of Technology,316,n/a,66.3,65,82.4,70.3,24.6
2023,3846246,environmental-sciences,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),421,n/a,56.6,65.9,84.5,66.8,26
2023,3846246,environmental-sciences,294800,Taiwan,National Tsing Hua University,422,n/a,58.8,71.5,78.3,62.7,26.5
2023,3846249,geography,294804,Taiwan,National Taiwan University (NTU),65,n/a,80.5,83.5,80,64.7,
2023,3846249,geography,294814,Taiwan,National Cheng Kung University (NCKU),169,n/a,64.3,78.7,80.5,64.7,
2023,3846249,geography,294806,Taiwan,National Taiwan Normal University,170,n/a,67.5,66.3,71.2,58.2,
2023,3846247,geology,294804,Taiwan,National Taiwan University (NTU),119,n/a,74.4,76.7,84.4,78,47.6
2023,3846245,geophysics,294804,Taiwan,National Taiwan University (NTU),120,n/a,74.4,76.3,82.7,75.5,50.3
2023,3846252,history,294804,Taiwan,National Taiwan University (NTU),68,n/a,82.1,78.9,56.2,50.3,
2023,3846258,hospitality-leisure-management,893100,Taiwan,National Kaohsiung University of Hospitality and Tourism (NKUHT),38,55.5,59,50.8,71.1,n/a,
2023,3846259,law-legal-studies,294804,Taiwan,National Taiwan University (NTU),70,72.4,78.8,71.2,67.3,55,
2023,3846259,law-legal-studies,294811,Taiwan,National Chengchi University,221,n/a,65.7,62,67.1,41.1,
2023,3846259,law-legal-studies,294692,Taiwan,National Chung Cheng University,262,n/a,61,57.9,64.9,50.4,
2023,3846259,law-legal-studies,3740459,Taiwan,National Yang Ming Chiao Tung University,263,n/a,63.1,62.3,75.2,44.7,
2023,3846259,law-legal-studies,294800,Taiwan,National Tsing Hua University,315,n/a,54.9,64.8,67.8,50.4,
2023,3846262,library-information-management,294804,Taiwan,National Taiwan University (NTU),58,n/a,61.9,75.5,74.5,72.8,
2023,3846264,linguistics,294804,Taiwan,National Taiwan University (NTU),58,72.6,70.6,84.6,83.4,70.3,
2023,3846264,linguistics,294800,Taiwan,National Tsing Hua University,78,69.8,70.4,76.6,65.6,50,
2023,3846264,linguistics,294806,Taiwan,National Taiwan Normal University,99,67.5,67.7,70,68.8,58.4,
2023,3846264,linguistics,294814,Taiwan,National Cheng Kung University (NCKU),173,n/a,61.2,75.4,72.5,50,
2023,3846264,linguistics,294811,Taiwan,National Chengchi University,174,n/a,60.2,73.9,63.7,50,
2023,3846264,linguistics,294692,Taiwan,National Chung Cheng University,213,n/a,61.4,62.3,45.5,31.5,
2023,3846268,materials-sciences,294804,Taiwan,National Taiwan University (NTU),93,73.6,68.8,73.9,83.5,85.1,49.8
2023,3846268,materials-sciences,294963,Taiwan,National Taipei University of Technology,97,73.3,79.4,74.1,79.9,74.7,32
2023,3846268,materials-sciences,294800,Taiwan,National Tsing Hua University,124,n/a,67,73.1,83.5,81.3,54.1
2023,3846268,materials-sciences,294814,Taiwan,National Cheng Kung University (NCKU),219,n/a,58,68,77.7,74.2,36.7
2023,3846268,materials-sciences,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),220,n/a,56.9,62.7,79.2,74,55.9
2023,3846268,materials-sciences,294816,Taiwan,National Central University,376,n/a,47.1,57.2,76.2,67.9,37.8
2023,3846268,materials-sciences,294808,Taiwan,National Chung Hsing University,377,n/a,47.6,61.6,76.5,68.2,29.5
2023,3846268,materials-sciences,294807,Taiwan,National Sun Yat-sen University,378,n/a,48.6,59.8,77.6,69.6,26.8
2023,3846266,mathematics,294804,Taiwan,National Taiwan University (NTU),109,70.5,77.5,75.1,73.1,68.2,32.5
2023,3846266,mathematics,294800,Taiwan,National Tsing Hua University,163,n/a,62.3,73.6,87.9,62.9,37.6
2023,3846266,mathematics,294814,Taiwan,National Cheng Kung University (NCKU),219,n/a,67.7,67.2,88.6,60.8,27.8
2023,3846266,mathematics,3740459,Taiwan,National Yang Ming Chiao Tung University,222,n/a,62.5,71.2,70.8,64.8,35.7
2023,3846266,mathematics,294807,Taiwan,National Sun Yat-sen University,371,n/a,62.8,60.9,66.3,57,21.6
2023,3846266,mathematics,294816,Taiwan,National Central University,515,n/a,52.6,58.7,64.6,57,20.9
2023,3846267,medicine,294804,Taiwan,National Taiwan University (NTU),70,76.2,73.9,77.7,89.6,80.1,49.6
2023,3846267,medicine,3740459,Taiwan,National Yang Ming Chiao Tung University,160,n/a,58.6,71.3,83.4,75.3,41.9
2023,3846267,medicine,295098,Taiwan,Taipei Medical University (TMU),168,n/a,65,72.1,80.6,71.9,42.9
2023,3846267,medicine,293781,Taiwan,China Medical University ,203,n/a,57.7,59.5,83.6,72.1,39.8
2023,3846267,medicine,294814,Taiwan,National Cheng Kung University (NCKU),213,n/a,60.2,71.7,82.3,68.4,35.5
2023,3846267,medicine,295787,Taiwan,Kaohsiung Medical University,266,n/a,57.4,61.2,80.1,68,41.2
2023,3846267,medicine,294682,Taiwan,Chang Gung University,307,n/a,49,57.2,82.1,73.1,45.2
2023,3846267,medicine,294800,Taiwan,National Tsing Hua University,469,n/a,56,71,60.5,58.3,10.3
2023,3846267,medicine,294808,Taiwan,National Chung Hsing University,620,n/a,36.5,58,68.7,60.9,13.8
2023,3846269,modern-languages,294804,Taiwan,National Taiwan University (NTU),53,78.5,80.4,74.1,n/a,n/a,
2023,3846269,modern-languages,294811,Taiwan,National Chengchi University,114,n/a,71.8,64,n/a,n/a,
2023,3846269,modern-languages,294806,Taiwan,National Taiwan Normal University,115,n/a,74.8,63.3,n/a,n/a,
2023,3846269,modern-languages,294814,Taiwan,National Cheng Kung University (NCKU),162,n/a,66.2,66.3,n/a,n/a,
2023,3846269,modern-languages,294800,Taiwan,National Tsing Hua University,163,n/a,69.4,65.3,n/a,n/a,
2023,3846269,modern-languages,294807,Taiwan,National Sun Yat-sen University,264,n/a,61.5,61.3,n/a,n/a,
2023,3870666,nursing,295098,Taiwan,Taipei Medical University (TMU),38,82.9,78.8,97,89.6,75.6,
2023,3870666,nursing,952342,Taiwan,National Taipei University of Nursing and Health Sciences,62,n/a,64.1,66.1,87.5,76.3,
2023,3870666,nursing,294804,Taiwan,National Taiwan University (NTU),63,n/a,70.6,81,86.5,74.3,
2023,3870666,nursing,294682,Taiwan,Chang Gung University,104,n/a,55.5,66.3,88,74.3,
2023,3870666,nursing,3740459,Taiwan,National Yang Ming Chiao Tung University,116,n/a,48.2,78.3,91.7,75,
